,year,month,stateid,price,price-units
213,2023,11,PACN,0.0,cents per kilowatt-hour
218,2023,11,US,16.19,cents per kilowatt-hour
219,2023,11,US,12.6,cents per kilowatt-hour
223,2023,05,AZ,14.3,cents per kilowatt-hour
224,2023,05,AZ,10.45,cents per kilowatt-hour
229,2023,05,AR,12.32,cents per kilowatt-hour
230,2023,05,AR,15.12,cents per kilowatt-hour
235,2023,05,CA,29.82,cents per kilowatt-hour
236,2023,05,CA,13.12,cents per kilowatt-hour
241,2023,05,CO,14.34,cents per kilowatt-hour
242,2023,05,CO,11.3,cents per kilowatt-hour
249,2023,06,ME,27.56,cents per kilowatt-hour
250,2023,06,ME,0.0,cents per kilowatt-hour
255,2023,06,MD,17.0,cents per kilowatt-hour
256,2023,06,MD,11.16,cents per kilowatt-hour
261,2023,06,MA,27.52,cents per kilowatt-hour
262,2023,06,MA,7.28,cents per kilowatt-hour
267,2023,06,MI,19.38,cents per kilowatt-hour
268,2023,06,MI,13.85,cents per kilowatt-hour
273,2023,06,MN,15.68,cents per kilowatt-hour
274,2023,06,MN,13.9,cents per kilowatt-hour
281,2023,05,CT,31.36,cents per kilowatt-hour
282,2023,05,CT,16.12,cents per kilowatt-hour
287,2023,05,DE,16.62,cents per kilowatt-hour
288,2023,05,DE,0.0,cents per kilowatt-hour
293,2023,05,DC,17.09,cents per kilowatt-hour
294,2023,05,DC,10.39,cents per kilowatt-hour
299,2023,05,FL,15.09,cents per kilowatt-hour
300,2023,05,FL,11.49,cents per kilowatt-hour
302,2023,06,MS,13.27,cents per kilowatt-hour
303,2023,06,MS,0.0,cents per kilowatt-hour
308,2023,06,MO,14.1,cents per kilowatt-hour
309,2023,06,MO,9.7,cents per kilowatt-hour
314,2023,06,MT,13.16,cents per kilowatt-hour
315,2023,06,MT,0.0,cents per kilowatt-hour
320,2023,10,MTN,13.86,cents per kilowatt-hour
321,2023,10,MTN,12.92,cents per kilowatt-hour
322,2024,01,IN,14.0,cents per kilowatt-hour
323,2024,01,IN,11.86,cents per kilowatt-hour
328,2024,01,IA,11.85,cents per kilowatt-hour
329,2024,01,IA,0.0,cents per kilowatt-hour
334,2024,01,KS,13.04,cents per kilowatt-hour
335,2024,01,KS,0.0,cents per kilowatt-hour
340,2024,01,KY,12.51,cents per kilowatt-hour
341,2024,01,KY,0.0,cents per kilowatt-hour
346,2024,01,LA,10.82,cents per kilowatt-hour
351,2023,10,PACC,23.84,cents per kilowatt-hour
352,2023,10,PACC,14.42,cents per kilowatt-hour
357,2023,10,PACN,35.18,cents per kilowatt-hour
358,2023,10,PACN,0.0,cents per kilowatt-hour
359,2023,12,MD,11.7,cents per kilowatt-hour
364,2023,12,MA,28.94,cents per kilowatt-hour
365,2023,12,MA,6.94,cents per kilowatt-hour
370,2023,12,MI,18.7,cents per kilowatt-hour
371,2023,12,MI,13.68,cents per kilowatt-hour
376,2023,12,MN,14.09,cents per kilowatt-hour
377,2023,12,MN,10.52,cents per kilowatt-hour
382,2023,12,MS,13.06,cents per kilowatt-hour
383,2023,12,MS,0.0,cents per kilowatt-hour
388,2023,12,MO,11.33,cents per kilowatt-hour
389,2023,12,MO,8.63,cents per kilowatt-hour
395,2023,11,NH,25.58,cents per kilowatt-hour
396,2023,11,NH,0.0,cents per kilowatt-hour
401,2023,11,NJ,17.47,cents per kilowatt-hour
402,2023,11,NJ,11.59,cents per kilowatt-hour
405,2024,01,LA,10.48,cents per kilowatt-hour
409,2023,08,SD,13.07,cents per kilowatt-hour
410,2023,08,SD,0.0,cents per kilowatt-hour
415,2023,08,TN,11.93,cents per kilowatt-hour
416,2023,08,TN,0.0,cents per kilowatt-hour
421,2023,08,TX,14.17,cents per kilowatt-hour
422,2023,08,TX,6.75,cents per kilowatt-hour
427,2023,08,UT,11.67,cents per kilowatt-hour
428,2023,08,UT,12.32,cents per kilowatt-hour
433,2023,08,VT,20.47,cents per kilowatt-hour
434,2023,08,VT,0.0,cents per kilowatt-hour
439,2023,08,VA,13.85,cents per kilowatt-hour
440,2023,08,VA,10.36,cents per kilowatt-hour
445,2023,08,WA,11.14,cents per kilowatt-hour
446,2023,08,WA,10.19,cents per kilowatt-hour
451,2023,08,WV,14.2,cents per kilowatt-hour
452,2023,08,WV,0.0,cents per kilowatt-hour
457,2023,08,WI,17.19,cents per kilowatt-hour
458,2023,08,WI,18.57,cents per kilowatt-hour
463,2023,08,WY,12.45,cents per kilowatt-hour
464,2023,08,WY,0.0,cents per kilowatt-hour
468,2023,02,WSC,13.89,cents per kilowatt-hour
469,2023,02,WSC,7.35,cents per kilowatt-hour
474,2023,02,MTN,13.0,cents per kilowatt-hour
475,2023,02,MTN,12.94,cents per kilowatt-hour
480,2023,02,PACC,19.38,cents per kilowatt-hour
481,2023,02,PACC,11.8,cents per kilowatt-hour
486,2023,02,PACN,34.05,cents per kilowatt-hour
487,2023,02,PACN,0.0,cents per kilowatt-hour
492,2023,02,US,15.98,cents per kilowatt-hour
493,2023,02,US,13.14,cents per kilowatt-hour
498,2023,04,AL,14.54,cents per kilowatt-hour
499,2023,04,AL,0.0,cents per kilowatt-hour
504,2023,04,AK,23.44,cents per kilowatt-hour
505,2023,04,AK,0.0,cents per kilowatt-hour
510,2023,04,AZ,14.12,cents per kilowatt-hour
511,2023,04,AZ,9.28,cents per kilowatt-hour
517,2023,08,ME,25.37,cents per kilowatt-hour
518,2023,08,ME,0.0,cents per kilowatt-hour
523,2023,08,MD,16.39,cents per kilowatt-hour
524,2023,08,MD,11.17,cents per kilowatt-hour
529,2023,08,MA,28.02,cents per kilowatt-hour
530,2023,08,MA,6.75,cents per kilowatt-hour
535,2023,08,MI,19.57,cents per kilowatt-hour
537,2023,01,ND,9.95,cents per kilowatt-hour
538,2023,01,ND,0.0,cents per kilowatt-hour
543,2023,01,OH,14.3,cents per kilowatt-hour
544,2023,01,OH,5.51,cents per kilowatt-hour
550,2023,04,RI,23.54,cents per kilowatt-hour
551,2023,04,RI,16.69,cents per kilowatt-hour
556,2023,04,SC,13.9,cents per kilowatt-hour
557,2023,04,SC,0.0,cents per kilowatt-hour
562,2023,04,SD,11.92,cents per kilowatt-hour
563,2023,04,SD,0.0,cents per kilowatt-hour
568,2023,04,TN,11.86,cents per kilowatt-hour
569,2023,04,TN,0.0,cents per kilowatt-hour
574,2023,04,TX,14.36,cents per kilowatt-hour
575,2023,04,TX,7.14,cents per kilowatt-hour
580,2023,04,UT,10.84,cents per kilowatt-hour
581,2023,04,UT,12.2,cents per kilowatt-hour
586,2023,04,VT,20.75,cents per kilowatt-hour
587,2023,10,OK,13.04,cents per kilowatt-hour
588,2023,10,OK,0.0,cents per kilowatt-hour
593,2023,10,OR,13.29,cents per kilowatt-hour
594,2023,10,OR,11.66,cents per kilowatt-hour
599,2023,10,PA,18.44,cents per kilowatt-hour
600,2023,10,PA,10.83,cents per kilowatt-hour
605,2023,10,RI,30.08,cents per kilowatt-hour
606,2023,10,RI,17.42,cents per kilowatt-hour
611,2023,10,SC,14.0,cents per kilowatt-hour
612,2023,10,SC,0.0,cents per kilowatt-hour
617,2023,10,SD,13.05,cents per kilowatt-hour
618,2023,10,SD,0.0,cents per kilowatt-hour
623,2023,03,PACC,21.13,cents per kilowatt-hour
624,2023,03,PACC,11.63,cents per kilowatt-hour
629,2023,03,PACN,34.25,cents per kilowatt-hour
630,2023,03,PACN,0.0,cents per kilowatt-hour
635,2023,03,US,16.04,cents per kilowatt-hour
636,2023,03,US,12.28,cents per kilowatt-hour
641,2023,12,AL,14.16,cents per kilowatt-hour
642,2023,12,AL,0.0,cents per kilowatt-hour
647,2023,12,AK,24.22,cents per kilowatt-hour
648,2023,12,AK,0.0,cents per kilowatt-hour
652,2023,05,GA,13.96,cents per kilowatt-hour
653,2023,05,GA,5.94,cents per kilowatt-hour
658,2023,05,HI,42.26,cents per kilowatt-hour
659,2023,05,HI,0.0,cents per kilowatt-hour
665,2023,10,TN,12.49,cents per kilowatt-hour
666,2023,10,TN,0.0,cents per kilowatt-hour
671,2023,10,TX,14.89,cents per kilowatt-hour
672,2023,10,TX,7.17,cents per kilowatt-hour
677,2023,10,UT,11.23,cents per kilowatt-hour
678,2023,10,UT,12.32,cents per kilowatt-hour
683,2023,10,VT,22.11,cents per kilowatt-hour
684,2023,10,VT,0.0,cents per kilowatt-hour
689,2023,10,VA,14.16,cents per kilowatt-hour
691,2023,05,ID,10.72,cents per kilowatt-hour
692,2023,05,ID,0.0,cents per kilowatt-hour
697,2023,05,IL,17.86,cents per kilowatt-hour
698,2023,05,IL,7.25,cents per kilowatt-hour
703,2023,05,IN,15.12,cents per kilowatt-hour
704,2023,05,IN,0.0,cents per kilowatt-hour
709,2023,05,IA,14.29,cents per kilowatt-hour
710,2023,05,IA,0.0,cents per kilowatt-hour
715,2023,05,KS,13.86,cents per kilowatt-hour
716,2023,05,KS,0.0,cents per kilowatt-hour
721,2023,05,KY,12.69,cents per kilowatt-hour
722,2023,05,KY,0.0,cents per kilowatt-hour
727,2023,05,LA,11.72,cents per kilowatt-hour
728,2023,05,LA,11.47,cents per kilowatt-hour
733,2023,05,ME,29.19,cents per kilowatt-hour
734,2023,05,ME,0.0,cents per kilowatt-hour
739,2023,05,MD,16.08,cents per kilowatt-hour
740,2023,05,MD,11.33,cents per kilowatt-hour
745,2023,05,MA,29.39,cents per kilowatt-hour
746,2023,05,MA,7.51,cents per kilowatt-hour
751,2023,05,MI,18.7,cents per kilowatt-hour
752,2023,05,MI,14.07,cents per kilowatt-hour
754,2023,08,MI,14.12,cents per kilowatt-hour
759,2023,08,MN,15.61,cents per kilowatt-hour
763,2023,06,AL,14.67,cents per kilowatt-hour
764,2023,06,AL,0.0,cents per kilowatt-hour
769,2023,06,AK,24.79,cents per kilowatt-hour
770,2023,06,AK,0.0,cents per kilowatt-hour
775,2023,06,AZ,14.28,cents per kilowatt-hour
776,2023,06,AZ,11.46,cents per kilowatt-hour
781,2023,06,AR,12.46,cents per kilowatt-hour
782,2023,06,AR,16.8,cents per kilowatt-hour
787,2023,06,CA,31.24,cents per kilowatt-hour
788,2023,06,CA,11.85,cents per kilowatt-hour
793,2023,06,CO,14.63,cents per kilowatt-hour
794,2023,06,CO,14.98,cents per kilowatt-hour
799,2023,06,CT,31.85,cents per kilowatt-hour
800,2023,06,CT,16.63,cents per kilowatt-hour
805,2023,08,MN,13.4,cents per kilowatt-hour
810,2023,08,MS,12.7,cents per kilowatt-hour
811,2023,08,MS,0.0,cents per kilowatt-hour
816,2023,08,MO,14.25,cents per kilowatt-hour
817,2023,08,MO,12.18,cents per kilowatt-hour
822,2023,08,MT,12.93,cents per kilowatt-hour
823,2023,08,MT,0.0,cents per kilowatt-hour
828,2023,08,NE,12.19,cents per kilowatt-hour
829,2023,08,NE,0.0,cents per kilowatt-hour
834,2023,08,NV,16.48,cents per kilowatt-hour
835,2023,08,NV,12.87,cents per kilowatt-hour
840,2023,08,NH,26.13,cents per kilowatt-hour
841,2023,08,NH,0.0,cents per kilowatt-hour
846,2023,08,NJ,18.51,cents per kilowatt-hour
847,2023,08,NJ,12.18,cents per kilowatt-hour
852,2023,08,NM,14.41,cents per kilowatt-hour
853,2023,08,NM,0.0,cents per kilowatt-hour
858,2023,08,NY,22.26,cents per kilowatt-hour
859,2023,08,NY,16.34,cents per kilowatt-hour
864,2023,08,NC,12.7,cents per kilowatt-hour
865,2023,08,NC,9.43,cents per kilowatt-hour
868,2023,06,DE,15.99,cents per kilowatt-hour
869,2023,06,DE,0.0,cents per kilowatt-hour
874,2023,06,DC,16.55,cents per kilowatt-hour
875,2023,06,DC,9.04,cents per kilowatt-hour
880,2023,06,FL,15.23,cents per kilowatt-hour
881,2023,06,FL,11.27,cents per kilowatt-hour
886,2023,06,GA,14.59,cents per kilowatt-hour
887,2023,06,GA,7.57,cents per kilowatt-hour
892,2023,06,HI,41.74,cents per kilowatt-hour
893,2023,06,HI,0.0,cents per kilowatt-hour
898,2023,06,ID,11.71,cents per kilowatt-hour
899,2023,06,ID,0.0,cents per kilowatt-hour
904,2023,06,IL,15.08,cents per kilowatt-hour
905,2023,06,IL,7.14,cents per kilowatt-hour
910,2023,06,IN,14.67,cents per kilowatt-hour
911,2023,06,IN,11.56,cents per kilowatt-hour
916,2023,06,IA,15.11,cents per kilowatt-hour
917,2023,06,IA,0.0,cents per kilowatt-hour
922,2023,06,KS,13.33,cents per kilowatt-hour
923,2023,06,KS,0.0,cents per kilowatt-hour
928,2023,06,KY,12.65,cents per kilowatt-hour
929,2023,06,KY,0.0,cents per kilowatt-hour
934,2023,08,ND,12.55,cents per kilowatt-hour
935,2023,08,ND,0.0,cents per kilowatt-hour
940,2023,08,OH,15.63,cents per kilowatt-hour
941,2023,08,OH,6.34,cents per kilowatt-hour
946,2023,08,OK,13.1,cents per kilowatt-hour
947,2023,08,OK,0.0,cents per kilowatt-hour
952,2023,08,OR,13.02,cents per kilowatt-hour
953,2023,08,OR,11.4,cents per kilowatt-hour
958,2023,08,PA,17.89,cents per kilowatt-hour
959,2023,08,PA,11.02,cents per kilowatt-hour
964,2023,08,RI,25.54,cents per kilowatt-hour
965,2023,08,RI,16.75,cents per kilowatt-hour
970,2023,08,SC,13.41,cents per kilowatt-hour
971,2023,08,SC,0.0,cents per kilowatt-hour
973,2023,10,VA,9.98,cents per kilowatt-hour
978,2023,10,WA,11.33,cents per kilowatt-hour
979,2023,10,WA,10.12,cents per kilowatt-hour
984,2023,10,WV,15.05,cents per kilowatt-hour
985,2023,10,WV,0.0,cents per kilowatt-hour
990,2023,10,WI,17.14,cents per kilowatt-hour
991,2023,10,WI,21.34,cents per kilowatt-hour
996,2023,06,LA,11.25,cents per kilowatt-hour
997,2023,06,LA,11.28,cents per kilowatt-hour
1002,2023,12,AZ,14.42,cents per kilowatt-hour
1003,2023,12,AZ,9.63,cents per kilowatt-hour
1008,2023,12,AR,11.54,cents per kilowatt-hour
1009,2023,12,AR,15.18,cents per kilowatt-hour
1014,2023,12,CA,29.12,cents per kilowatt-hour
1015,2023,12,CA,13.09,cents per kilowatt-hour
1020,2023,12,CO,14.18,cents per kilowatt-hour
1021,2023,12,CO,12.39,cents per kilowatt-hour
1026,2023,12,CT,26.89,cents per kilowatt-hour
1027,2023,12,CT,19.57,cents per kilowatt-hour
1032,2023,12,DE,16.3,cents per kilowatt-hour
1033,2023,12,DE,0.0,cents per kilowatt-hour
1038,2023,12,DC,17.82,cents per kilowatt-hour
1039,2023,12,DC,10.57,cents per kilowatt-hour
1044,2023,12,FL,15.2,cents per kilowatt-hour
1045,2023,12,FL,11.31,cents per kilowatt-hour
1050,2023,12,GA,12.72,cents per kilowatt-hour
1051,2023,12,GA,6.2,cents per kilowatt-hour
1056,2023,12,HI,41.6,cents per kilowatt-hour
1057,2023,03,TX,7.28,cents per kilowatt-hour
1062,2023,03,UT,10.86,cents per kilowatt-hour
1063,2023,03,UT,12.21,cents per kilowatt-hour
1068,2023,03,VT,20.38,cents per kilowatt-hour
1069,2023,03,VT,0.0,cents per kilowatt-hour
1074,2023,03,VA,14.67,cents per kilowatt-hour
1075,2023,03,VA,11.06,cents per kilowatt-hour
1080,2023,03,WA,10.79,cents per kilowatt-hour
1081,2023,03,WA,10.65,cents per kilowatt-hour
1086,2023,03,WV,14.23,cents per kilowatt-hour
1087,2023,03,WV,0.0,cents per kilowatt-hour
1092,2023,03,WI,16.47,cents per kilowatt-hour
1093,2023,03,WI,16.2,cents per kilowatt-hour
1098,2023,03,WY,10.68,cents per kilowatt-hour
1099,2023,03,WY,0.0,cents per kilowatt-hour
1104,2023,03,NEW,31.25,cents per kilowatt-hour
1105,2023,03,NEW,14.92,cents per kilowatt-hour
1110,2023,03,MAT,19.09,cents per kilowatt-hour
1111,2023,03,MAT,13.57,cents per kilowatt-hour
1116,2023,03,ENC,16.45,cents per kilowatt-hour
1117,2023,03,ENC,7.33,cents per kilowatt-hour
1120,2023,10,NE,11.67,cents per kilowatt-hour
1121,2023,10,NE,0.0,cents per kilowatt-hour
1126,2023,10,NV,14.63,cents per kilowatt-hour
1127,2023,10,NV,12.48,cents per kilowatt-hour
1132,2023,10,NH,25.49,cents per kilowatt-hour
1133,2023,10,NH,0.0,cents per kilowatt-hour
1138,2023,10,NJ,17.46,cents per kilowatt-hour
1139,2023,10,NJ,11.2,cents per kilowatt-hour
1144,2023,10,NM,14.12,cents per kilowatt-hour
1145,2023,10,NM,0.0,cents per kilowatt-hour
1150,2023,10,NY,21.99,cents per kilowatt-hour
1151,2023,10,NY,15.26,cents per kilowatt-hour
1156,2023,10,NC,14.4,cents per kilowatt-hour
1157,2023,10,NC,10.14,cents per kilowatt-hour
1162,2023,10,ND,11.71,cents per kilowatt-hour
1163,2023,10,ND,0.0,cents per kilowatt-hour
1170,2023,05,AL,14.55,cents per kilowatt-hour
1171,2023,05,AL,0.0,cents per kilowatt-hour
1176,2023,05,AK,24.91,cents per kilowatt-hour
1177,2023,05,AK,0.0,cents per kilowatt-hour
1181,2023,02,DC,15.7,cents per kilowatt-hour
1182,2023,02,DC,10.47,cents per kilowatt-hour
1187,2023,02,FL,15.82,cents per kilowatt-hour
1188,2023,02,FL,10.35,cents per kilowatt-hour
1193,2023,02,GA,13.53,cents per kilowatt-hour
1198,2023,05,SC,13.98,cents per kilowatt-hour
1199,2023,05,SC,0.0,cents per kilowatt-hour
1204,2023,05,SD,13.18,cents per kilowatt-hour
1205,2023,05,SD,0.0,cents per kilowatt-hour
1214,2023,03,WNC,12.12,cents per kilowatt-hour
1215,2023,03,WNC,10.31,cents per kilowatt-hour
1220,2023,03,SAT,14.2,cents per kilowatt-hour
1221,2023,03,SAT,10.11,cents per kilowatt-hour
1226,2023,03,ESC,13.17,cents per kilowatt-hour
1227,2023,03,ESC,0.0,cents per kilowatt-hour
1232,2023,03,WSC,13.75,cents per kilowatt-hour
1233,2023,03,WSC,7.51,cents per kilowatt-hour
1238,2023,07,MD,16.02,cents per kilowatt-hour
1239,2023,07,MD,11.1,cents per kilowatt-hour
1244,2023,07,MA,27.43,cents per kilowatt-hour
1245,2023,07,MA,6.62,cents per kilowatt-hour
1250,2023,07,MI,19.43,cents per kilowatt-hour
1251,2023,07,MI,14.05,cents per kilowatt-hour
1256,2023,07,MN,15.6,cents per kilowatt-hour
1257,2023,07,MN,13.49,cents per kilowatt-hour
1262,2023,07,MS,12.82,cents per kilowatt-hour
1263,2023,07,MS,0.0,cents per kilowatt-hour
1268,2023,10,OH,15.89,cents per kilowatt-hour
1269,2023,10,OH,6.72,cents per kilowatt-hour
1274,2023,11,WV,14.42,cents per kilowatt-hour
1275,2023,11,WV,0.0,cents per kilowatt-hour
1280,2023,11,WI,16.85,cents per kilowatt-hour
1281,2023,11,WI,15.74,cents per kilowatt-hour
1286,2023,11,WY,11.59,cents per kilowatt-hour
1287,2023,11,WY,0.0,cents per kilowatt-hour
1292,2023,11,NEW,27.47,cents per kilowatt-hour
1293,2023,11,NEW,10.68,cents per kilowatt-hour
1298,2023,11,MAT,19.76,cents per kilowatt-hour
1299,2023,02,GA,5.92,cents per kilowatt-hour
1304,2023,02,HI,44.24,cents per kilowatt-hour
1305,2023,02,HI,0.0,cents per kilowatt-hour
1310,2023,02,ID,10.19,cents per kilowatt-hour
1311,2023,02,ID,0.0,cents per kilowatt-hour
1313,2023,08,WNC,14.21,cents per kilowatt-hour
1314,2023,08,WNC,12.64,cents per kilowatt-hour
1319,2023,08,SAT,14.28,cents per kilowatt-hour
1320,2023,08,SAT,10.53,cents per kilowatt-hour
1325,2023,08,ESC,12.79,cents per kilowatt-hour
1326,2023,08,ESC,0.0,cents per kilowatt-hour
1331,2023,08,WSC,13.56,cents per kilowatt-hour
1332,2023,08,WSC,7.01,cents per kilowatt-hour
1337,2023,08,MTN,13.92,cents per kilowatt-hour
1338,2023,08,MTN,13.11,cents per kilowatt-hour
1343,2023,08,PACC,24.22,cents per kilowatt-hour
1344,2023,08,PACC,13.51,cents per kilowatt-hour
1349,2023,08,PACN,34.22,cents per kilowatt-hour
1350,2023,08,PACN,0.0,cents per kilowatt-hour
1355,2023,08,US,15.91,cents per kilowatt-hour
1358,2023,10,AR,12.73,cents per kilowatt-hour
1359,2023,10,AR,13.2,cents per kilowatt-hour
1364,2023,10,CA,31.78,cents per kilowatt-hour
1365,2023,10,CA,14.92,cents per kilowatt-hour
1371,2023,09,RI,17.44,cents per kilowatt-hour
1376,2023,09,SC,14.04,cents per kilowatt-hour
1377,2023,09,SC,0.0,cents per kilowatt-hour
1382,2023,09,SD,13.24,cents per kilowatt-hour
1383,2023,09,SD,0.0,cents per kilowatt-hour
1388,2023,09,TN,11.78,cents per kilowatt-hour
1389,2023,09,TN,0.0,cents per kilowatt-hour
1394,2023,09,TX,14.68,cents per kilowatt-hour
1395,2023,09,TX,7.49,cents per kilowatt-hour
1400,2023,09,UT,11.85,cents per kilowatt-hour
1401,2023,09,UT,12.33,cents per kilowatt-hour
1406,2023,09,VT,21.21,cents per kilowatt-hour
1407,2023,09,VT,0.0,cents per kilowatt-hour
1412,2023,09,VA,14.69,cents per kilowatt-hour
1413,2023,09,VA,9.02,cents per kilowatt-hour
1418,2023,09,WA,11.38,cents per kilowatt-hour
1423,2023,01,TN,12.04,cents per kilowatt-hour
1424,2023,01,TN,0.0,cents per kilowatt-hour
1429,2023,01,TX,14.36,cents per kilowatt-hour
1430,2023,01,TX,7.09,cents per kilowatt-hour
1435,2023,01,UT,10.65,cents per kilowatt-hour
1436,2023,01,UT,12.41,cents per kilowatt-hour
1441,2023,01,VT,19.96,cents per kilowatt-hour
1442,2023,01,VT,0.0,cents per kilowatt-hour
1447,2023,01,VA,13.96,cents per kilowatt-hour
1448,2023,01,VA,12.21,cents per kilowatt-hour
1453,2023,01,WA,10.49,cents per kilowatt-hour
1454,2023,01,WA,10.06,cents per kilowatt-hour
1459,2023,08,NEW,27.11,cents per kilowatt-hour
1460,2023,08,NEW,13.43,cents per kilowatt-hour
1465,2023,08,MAT,19.74,cents per kilowatt-hour
1466,2023,08,MAT,15.18,cents per kilowatt-hour
1471,2023,08,ENC,15.72,cents per kilowatt-hour
1472,2023,08,ENC,6.79,cents per kilowatt-hour
1479,2023,02,UT,10.79,cents per kilowatt-hour
1480,2023,02,UT,12.41,cents per kilowatt-hour
1485,2023,02,VT,20.28,cents per kilowatt-hour
1486,2023,02,VT,0.0,cents per kilowatt-hour
1491,2023,02,VA,14.32,cents per kilowatt-hour
1492,2023,02,VA,11.32,cents per kilowatt-hour
1495,2023,08,US,13.26,cents per kilowatt-hour
1500,2023,09,AL,14.89,cents per kilowatt-hour
1501,2023,09,AL,0.0,cents per kilowatt-hour
1505,2023,03,DC,16.06,cents per kilowatt-hour
1506,2023,03,DC,10.76,cents per kilowatt-hour
1511,2023,03,FL,14.65,cents per kilowatt-hour
1512,2023,03,FL,11.66,cents per kilowatt-hour
1517,2023,03,GA,13.49,cents per kilowatt-hour
1518,2023,03,GA,6.29,cents per kilowatt-hour
1523,2023,03,HI,44.06,cents per kilowatt-hour
1524,2023,03,HI,0.0,cents per kilowatt-hour
1529,2023,03,ID,10.03,cents per kilowatt-hour
1530,2023,03,ID,0.0,cents per kilowatt-hour
1535,2023,03,IL,17.38,cents per kilowatt-hour
1536,2023,03,IL,6.87,cents per kilowatt-hour
1541,2023,03,IN,16.02,cents per kilowatt-hour
1542,2023,03,IN,13.1,cents per kilowatt-hour
1547,2023,03,IA,11.99,cents per kilowatt-hour
1548,2023,03,IA,0.0,cents per kilowatt-hour
1553,2023,03,KS,13.72,cents per kilowatt-hour
1554,2023,03,KS,0.0,cents per kilowatt-hour
1559,2023,03,KY,12.28,cents per kilowatt-hour
1560,2023,09,WA,10.02,cents per kilowatt-hour
1567,2023,04,AR,12.36,cents per kilowatt-hour
1568,2023,04,AR,15.83,cents per kilowatt-hour
1573,2023,04,CA,29.7,cents per kilowatt-hour
1574,2023,04,CA,11.51,cents per kilowatt-hour
1579,2023,04,CO,13.53,cents per kilowatt-hour
1580,2023,04,CO,12.4,cents per kilowatt-hour
